"filename", "language", "Log", "JSON", "Rust", "TOML", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "HTML", "Markdown", "comment", "blank", "total"
"c:\wtl\WTL\Project\Snapline\Cargo.lock", "TOML", 0, 0, 0, 4785, 0, 0, 0, 0, 0, 0, 2, 512, 5299
"c:\wtl\WTL\Project\Snapline\Cargo.toml", "TOML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\build.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\capabilities\main.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\gen\schemas\acl-manifests.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\gen\schemas\capabilities.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\gen\schemas\desktop-schema.json", "JSON", 0, 2310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2310
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\gen\schemas\windows-schema.json", "JSON", 0, 2310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2310
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\src\main.rs", "Rust", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 23, 249
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src-tauri\tauri.conf.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src\EditorPane.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 28, 185
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src\api.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src\markdown.test.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 13, 101
"c:\wtl\WTL\Project\Snapline\apps\desktop-tauri\src\markdown.ts", "TypeScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 30, 157
